Year,ID Geography,Geography,Average Income,Population
"2018","04000US19","Iowa",31160.803619091337,3132499
"2018","04000US20","Kansas",30711.82989958663,2908776
"2018","04000US21","Kentucky",26912.090547191074,4440204
"2018","04000US22","Louisiana",26982.139675307742,4663616
"2018","04000US23","Maine",31191.961975160808,1332813
"2018","04000US24","Maryland",40475.487111628594,6003435
"2018","04000US25","Massachusetts",41754.35357999921,6830193
"2018","04000US26","Michigan",30175.621096405037,9957488
"2018","04000US27","Minnesota",36173.39258285785,5527358
"2018","04000US28","Mississippi",23437.462526624735,2988762
"2018","04000US29","Missouri",29680.36305705919,6090062
"2018","04000US30","Montana",29734.129730103326,1041732
"2018","04000US31","Nebraska",30882.733833133832,1904760
"2018","04000US32","Nevada",29855.547301964623,2922849
"2018","04000US33","New Hampshire",38373.67148058505,1343622
"2018","04000US34","New Jersey",40882.0169320657,8881845
"2018","04000US35","New Mexico",25783.28636602158,2092434
"2018","04000US36","New York",37383.56971571612,19618453
"2018","04000US37","North Carolina",29376.970446326093,10155624
"2018","04000US38","North Dakota",34975.60602019939,752201
"2018","04000US39","Ohio",30280.15620365063,11641879
"2018","04000US40","Oklahoma",27433.902363291534,3918137
"2018","04000US41","Oregon",32043.49157055843,4081943
"2018","04000US42","Pennsylvania",32833.74513737238,12791181
"2018","04000US44","Rhode Island",34562.36735752325,1056611
"2018","04000US45","South Carolina",27941.62569933968,4955925
"2018","04000US46","South Dakota",29752.98716054468,864289
"2018","04000US47","Tennessee",28363.332255514848,6651089
"2018","04000US48","Texas",30021.27818320797,27885195
"2018","04000US49","Utah",28127.000054509335,3045350
"2018","04000US50","Vermont",33574.66315720419,624977
"2018","04000US51","Virginia",37799.61987854677,8413774
"2018","04000US53","Washington",36801.712671311,7294336
"2018","04000US54","West Virginia",25477.67564216256,1829054
"2018","04000US55","Wisconsin",31869.385548995102,5778394
"2018","04000US56","Wyoming",32315.370021793082,581836
"2018","04000US72","Puerto Rico",12446.434590258705,3386941
"2017","04000US01","Alabama",25750.718341476026,4850771
"2017","04000US02","Alaska",35125.40241143298,738565
"2017","04000US04","Arizona",27914.758475911556,6809946
"2017","04000US05","Arkansas",24405.11188659021,2977944
"2017","04000US06","California",33004.43100423117,38982847
"2017","04000US08","Colorado",34750.48871529742,5436519
"2017","04000US09","Connecticut",41285.58983641018,3594478
"2017","04000US10","Delaware",32521.430202642274,943732
